Equipo,PTS,PJ,PG,PE,PP,GF,GC,DG
RSD Alcalá,75,34,23,6,5,68,32,36
Rayo Vallecano B,61,34,18,7,9,71,52,19
AD Torrejón CF,58,34,17,7,10,55,48,7
SAD Villaverde,54,34,14,12,8,52,37,15
Galapagar,54,34,14,12,8,45,41,4
Las Rozas,54,34,15,9,10,45,42,3
CUC Villalba,52,34,14,10,10,44,36,8
Leganés B,51,34,13,12,9,58,38,20
Alcorcón B,47,34,13,8,13,55,50,5
Trival Valderas,46,34,12,10,12,47,47,0
CDF Tres Cantos,45,34,12,9,13,43,44,-1
México FC,42,34,11,9,14,35,49,-14
RCD Carabanchel,42,34,10,12,12,30,29,1
AD Parla,38,34,10,8,16,38,58,-20
Cala Pozuelo,38,34,10,8,16,42,51,-9
Aravaca,35,34,9,8,17,42,52,-10
CD Canillas,23,34,5,8,21,36,68,-32
El Álamo,22,34,5,7,22,29,61,-32
