Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
14,Raúl Espinosa,Defensas,3,3,0.0,0.0,1.0,29,177,73K,50,1,AD Parla
2,Rodrigo Nunes,Defensas,22,21,3.0,0.0,6.0,31,191,19K,46,1,AD Parla
16,A. Moreno,Defensas,14,11,1.0,0.0,2.0,-,-,11K,41,1,AD Parla
15,D. Chica,Defensas,28,26,0.0,0.0,5.0,21,182,13K,39,1,AD Parla
3,Javi Arce,Defensas,19,18,1.0,0.0,2.0,20,180,6K,38,1,AD Parla
14,F. Rincón,Defensas,8,3,1.0,0.0,0.0,20,190,2K,37,1,AD Parla
22,Julio Villalba,Defensas,18,10,0.0,0.0,4.0,20,179,2K,36,1,AD Parla
28,A. Sanchez,Defensas,0,0,0.0,0.0,0.0,-,-,0,0,1,AD Parla
20,Carlitos Monzón,Centrocampistas,31,29,1.0,0.0,8.0,25,-,28K,46,2,AD Parla
12,Escobar,Centrocampistas,32,27,4.0,0.0,9.0,26,176,32K,44,1,AD Parla
18,César Escriba,Centrocampistas,23,18,1.0,0.0,10.0,24,178,26K,42,1,AD Parla
7,Michael,Centrocampistas,22,13,0.0,0.0,5.0,26,-,6K,41,1,AD Parla
3,Rufo,Centrocampistas,6,1,0.0,0.0,1.0,23,172,8K,38,1,AD Parla
6,C. Manzano,Centrocampistas,29,20,2.0,0.0,19.0,-,-,3K,33,2,AD Parla
26,D. Yerpes,Centrocampistas,9,3,0.0,0.0,1.0,-,-,6K,40,1,AD Parla
25,Ángel López,Centrocampistas,11,5,0.0,0.0,2.0,-,-,3K,39,1,AD Parla
26,F. Vargas,Centrocampistas,1,1,0.0,0.0,0.0,-,-,1K,27,1,AD Parla
29,Y. Falloun,Centrocampistas,0,0,0.0,0.0,0.0,-,-,1K,26,2,AD Parla
27,M. Sosa,Centrocampistas,1,0,0.0,0.0,0.0,-,-,0,0,1,AD Parla
10,Camacho,Delanteros,32,32,11.0,0.0,7.0,27,173,31K,44,1,AD Parla
21,Lorento,Delanteros,18,7,1.0,0.0,5.0,24,-,35K,46,1,AD Parla
24,Helmer,Delanteros,25,20,1.0,0.0,14.0,28,-,10K,39,1,AD Parla
9,Abdu Washington,Delanteros,18,14,6.0,0.0,5.0,23,183,5K,32,1,AD Parla
8,Pedro Roblas,Delanteros,2,1,0.0,0.0,0.0,21,168,5K,36,1,AD Parla
19,A. Gutiérrez,Delanteros,27,13,3.0,0.0,9.0,-,-,2K,29,2,AD Parla
23,Alex Perez,Delanteros,6,0,0.0,0.0,2.0,-,-,1K,34,1,AD Parla
