Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
12,C. Villar,Defensas,29,27,2.0,0.0,6.0,28,-,31K,46,1,AD Torrejón CF
24,A. Cova,Defensas,26,24,2.0,0.0,12.0,22,184,54K,47,1,AD Torrejón CF
2,Pablo Merino,Defensas,26,20,6.0,0.0,11.0,22,180,40K,45,2,AD Torrejón CF
4,Ivi,Defensas,22,15,1.0,0.0,5.0,26,186,51K,48,1,AD Torrejón CF
18,J. Alcolado,Defensas,27,25,2.0,0.0,12.0,21,-,44K,46,1,AD Torrejón CF
5,M. Linares,Defensas,8,4,0.0,0.0,1.0,22,-,65K,48,1,AD Torrejón CF
14,Unai Lechosa,Defensas,24,16,0.0,0.0,6.0,20,183,28K,45,1,AD Torrejón CF
29,N. Ruiz,Defensas,10,1,1.0,0.0,0.0,20,-,27K,44,1,AD Torrejón CF
3,Caba,Defensas,7,2,0.0,0.0,1.0,23,179,16K,38,1,AD Torrejón CF
15,Nachete,Centrocampistas,31,28,0.0,0.0,5.0,36,-,12K,51,4,AD Torrejón CF
6,Ángel Aguilar,Centrocampistas,31,30,0.0,0.0,6.0,22,-,43K,46,1,AD Torrejón CF
8,Guti,Centrocampistas,31,23,10.0,0.0,6.0,24,-,17K,39,3,AD Torrejón CF
23,R. Porcel,Centrocampistas,16,8,1.0,0.0,3.0,23,175,27K,42,1,AD Torrejón CF
21,Iker Liaño,Centrocampistas,11,6,0.0,0.0,2.0,22,170,30K,39,1,AD Torrejón CF
5,Gabino,Centrocampistas,1,1,0.0,0.0,1.0,22,-,31K,42,1,AD Torrejón CF
9,Pradillos,Delanteros,30,29,14.0,0.0,7.0,28,-,48K,49,1,AD Torrejón CF
11,A. Sánchez,Delanteros,14,8,1.0,0.0,2.0,26,175,123K,49,1,AD Torrejón CF
17,Adrián Gallego,Delanteros,26,13,1.0,0.0,5.0,20,-,54K,46,1,AD Torrejón CF
20,Ruby,Delanteros,32,23,3.0,0.0,4.0,22,-,20K,37,1,AD Torrejón CF
22,Nacho Pujol,Delanteros,24,9,1.0,0.0,1.0,21,-,25K,42,1,AD Torrejón CF
7,Carlos Gómez,Delanteros,28,11,4.0,0.0,3.0,31,175,13K,38,2,AD Torrejón CF
19,Amine,Delanteros,19,6,2.0,0.0,0.0,23,-,7K,35,1,AD Torrejón CF
10,Fabián Luzzi,Delanteros,6,1,0.0,0.0,0.0,21,175,31K,37,1,AD Torrejón CF
