Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
14,Fer Cuevas,Defensas,31,29,2.0,0.0,6.0,-,-,34K,50,1,Aravaca
3,Guille Tenorio,Defensas,23,22,4.0,0.0,6.0,-,-,20K,47,1,Aravaca
23,A. Martin,Defensas,28,21,1.0,0.0,6.0,30,-,17K,45,1,Aravaca
4,D. Sanchez,Defensas,22,15,0.0,0.0,13.0,27,-,18K,44,1,Aravaca
22,J. Rodríguez,Defensas,27,15,2.0,0.0,6.0,20,-,12K,43,1,Aravaca
16,Alfonso,Defensas,21,8,3.0,0.0,2.0,-,-,4K,36,1,Aravaca
21,Ollero,Defensas,12,1,0.0,0.0,1.0,-,-,2K,36,1,Aravaca
27,Dani Gomez,Defensas,1,0,0.0,0.0,0.0,23,-,1K,27,1,Aravaca
12,David,Defensas,0,0,0.0,0.0,0.0,-,-,1K,27,1,Aravaca
5,Papo,Centrocampistas,28,26,1.0,0.0,10.0,-,-,23K,46,1,Aravaca
10,M. Alonso,Centrocampistas,32,31,3.0,0.0,6.0,-,-,18K,45,1,Aravaca
8,Kike Lanchas,Centrocampistas,27,21,2.0,0.0,4.0,38,-,1K,48,1,Aravaca
6,Andrés,Centrocampistas,29,18,2.0,0.0,11.0,-,-,19K,44,1,Aravaca
20,Joni Cole,Centrocampistas,26,21,3.0,0.0,5.0,-,-,15K,44,1,Aravaca
15,A. Perez,Centrocampistas,28,17,3.0,0.0,3.0,33,-,8K,40,1,Aravaca
18,J. Herranz,Centrocampistas,11,4,0.0,0.0,2.0,30,-,9K,42,1,Aravaca
24,A. López,Centrocampistas,26,12,1.0,0.0,7.0,-,-,4K,41,1,Aravaca
7,Barroso,Delanteros,22,17,3.0,1.0,1.0,26,-,19K,43,1,Aravaca
17,Chuky,Delanteros,30,22,0.0,0.0,3.0,-,-,13K,42,1,Aravaca
9,Juanda,Delanteros,27,15,7.0,0.0,6.0,22,184,3K,34,1,Aravaca
11,Zamo,Delanteros,24,20,3.0,0.0,2.0,28,-,4K,35,1,Aravaca
26,A. Bravo,Delanteros,3,0,0.0,0.0,1.0,34,-,10K,38,1,Aravaca
19,Ignacio Fertis,Delanteros,11,2,1.0,0.0,2.0,-,-,4K,35,1,Aravaca
26,D. Pongó-Dankai,Delanteros,3,2,0.0,0.0,1.0,20,179,4K,30,1,Aravaca
