Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
17,D. Gil,Defensas,26,25,1.0,0.0,6.0,25,-,23K,44,3,CD Canillas
15,Rodajo,Defensas,6,6,0.0,0.0,3.0,27,-,21K,45,1,CD Canillas
4,C. Redondo,Defensas,28,22,1.0,0.0,4.0,28,-,31K,49,3,CD Canillas
5,I. Shamov,Defensas,21,19,0.0,0.0,8.0,29,-,22K,44,3,CD Canillas
14,V. Ortola,Defensas,4,3,0.0,0.0,0.0,25,-,14K,43,2,CD Canillas
22,M. Garcia,Defensas,17,13,0.0,0.0,6.0,24,-,14K,41,2,CD Canillas
21,Tobías Diaz,Defensas,22,15,0.0,0.0,4.0,22,-,16K,41,2,CD Canillas
26,I. Grutzmann,Defensas,20,12,1.0,0.0,5.0,-,-,1K,33,1,CD Canillas
27,A. Vallina,Defensas,2,0,0.0,0.0,0.0,-,-,1K,27,1,CD Canillas
28,V. Sánchez,Defensas,3,2,0.0,0.0,0.0,-,-,0,0,1,CD Canillas
8,Pablo Chozas,Centrocampistas,32,31,1.0,0.0,12.0,25,-,33K,47,3,CD Canillas
16,T. Acosta,Centrocampistas,27,22,8.0,0.0,15.0,28,-,20K,45,3,CD Canillas
10,Chengue,Centrocampistas,29,23,2.0,0.0,3.0,31,-,24K,48,2,CD Canillas
7,Felipe Gaviria,Centrocampistas,26,22,4.0,0.0,11.0,26,-,15K,41,2,CD Canillas
6,P. Martínez,Centrocampistas,25,19,1.0,0.0,6.0,26,-,20K,42,1,CD Canillas
11,Tembleque,Centrocampistas,27,20,1.0,0.0,5.0,24,-,15K,40,2,CD Canillas
2,J. Martín,Centrocampistas,20,15,0.0,0.0,6.0,23,-,12K,38,1,CD Canillas
3,Nachete,Centrocampistas,7,1,0.0,0.0,2.0,-,-,5K,37,2,CD Canillas
30,R. Espinosa,Centrocampistas,12,3,1.0,0.0,0.0,-,-,4K,34,2,CD Canillas
19,A. Bravo,Centrocampistas,15,1,1.0,0.0,4.0,-,-,1K,27,1,CD Canillas
12,Pitu,Delanteros,26,25,10.0,0.0,10.0,26,172,33K,43,2,CD Canillas
20,A. Martínez,Delanteros,24,16,2.0,0.0,0.0,23,-,22K,45,1,CD Canillas
9,J. Koh,Delanteros,26,15,0.0,0.0,0.0,23,-,16K,41,1,CD Canillas
29,I. Holgado,Delanteros,19,5,1.0,0.0,1.0,-,-,1K,27,1,CD Canillas
28,A. Fernandez,Delanteros,1,0,0.0,0.0,0.0,-,-,1K,27,1,CD Canillas
32,F. Andres,Delanteros,12,5,1.0,0.0,2.0,-,-,1K,27,1,CD Canillas
18,I. Jovanovic,Delanteros,3,0,0.0,0.0,0.0,-,-,1K,27,1,CD Canillas
