Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
2,Gerard,Defensas,30,30,2.0,0.0,8.0,32,-,45K,49,1,CDF Tres Cantos
17,A. Diaz,Defensas,30,28,3.0,0.0,9.0,25,-,32K,46,1,CDF Tres Cantos
5,I. Amaya,Defensas,29,18,2.0,0.0,5.0,26,-,26K,44,1,CDF Tres Cantos
3,J. Collado,Defensas,28,23,3.0,0.0,9.0,-,-,16K,43,2,CDF Tres Cantos
12,David Ortega,Defensas,22,15,1.0,0.0,4.0,23,187,17K,39,2,CDF Tres Cantos
4,A. Martin,Centrocampistas,33,32,0.0,0.0,7.0,29,-,42K,49,3,CDF Tres Cantos
7,Merchán,Centrocampistas,32,28,5.0,0.0,8.0,29,173,39K,48,2,CDF Tres Cantos
6,Febre,Centrocampistas,34,33,1.0,0.0,1.0,23,-,47K,47,2,CDF Tres Cantos
11,Álex Martínez,Centrocampistas,21,12,4.0,0.0,4.0,26,-,41K,49,1,CDF Tres Cantos
8,Simal,Centrocampistas,31,29,2.0,0.0,8.0,25,178,21K,40,2,CDF Tres Cantos
19,Juanpe,Centrocampistas,9,3,0.0,0.0,0.0,25,-,93K,44,1,CDF Tres Cantos
20,Gonzalo,Centrocampistas,31,18,2.0,0.0,2.0,23,-,25K,43,1,CDF Tres Cantos
18,Barroso,Centrocampistas,28,13,3.0,0.0,7.0,23,-,34K,44,2,CDF Tres Cantos
14,A. Del Val,Centrocampistas,0,0,0.0,0.0,0.0,24,-,16K,40,1,CDF Tres Cantos
27,A. Gomez,Centrocampistas,7,2,0.0,0.0,2.0,21,-,5K,35,1,CDF Tres Cantos
27,A. Lugo,Centrocampistas,1,0,0.0,0.0,0.0,-,-,1K,27,1,CDF Tres Cantos
10,Adnan,Delanteros,30,25,5.0,0.0,7.0,32,172,21K,45,2,CDF Tres Cantos
26,Ruso,Delanteros,2,1,0.0,0.0,0.0,-,-,10K,42,1,CDF Tres Cantos
14,Aitor Lorá,Delanteros,21,6,4.0,0.0,0.0,28,173,36K,46,1,CDF Tres Cantos
15,Alex Cano,Delanteros,2,1,0.0,0.0,0.0,25,-,15K,44,1,CDF Tres Cantos
9,Santos Maya,Delanteros,21,10,4.0,0.0,0.0,19,-,5K,37,1,CDF Tres Cantos
15,Ian Tejero,Delanteros,12,8,0.0,0.0,1.0,19,-,9K,38,1,CDF Tres Cantos
27,A. Muiña,Delanteros,0,0,0.0,0.0,0.0,-,-,1K,27,1,CDF Tres Cantos
