Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
19,G. Zamorano,Defensas,24,22,10.0,0.0,4.0,29,174,254K,57,1,El Álamo
23,Abraham,Defensas,22,15,0.0,0.0,5.0,30,181,22K,48,1,El Álamo
5,Parra,Defensas,28,26,0.0,0.0,6.0,22,-,21K,41,1,El Álamo
20,A. Rojas,Defensas,23,18,0.0,0.0,5.0,22,-,25K,41,1,El Álamo
4,D. Viega,Defensas,27,19,1.0,0.0,5.0,21,-,11K,36,1,El Álamo
2,Rubén,Defensas,20,11,0.0,0.0,8.0,33,-,7K,42,1,El Álamo
3,Juan Panadero,Defensas,24,14,0.0,0.0,9.0,21,-,4K,33,1,El Álamo
15,Luis Miguel,Centrocampistas,30,28,2.0,0.0,8.0,29,181,21K,45,1,El Álamo
6,Dani Durán,Centrocampistas,1,1,0.0,0.0,0.0,36,178,5K,47,1,El Álamo
14,Mario Presa,Centrocampistas,33,26,2.0,0.0,2.0,23,-,19K,39,1,El Álamo
10,Fabre,Centrocampistas,32,23,2.0,0.0,7.0,31,-,13K,43,1,El Álamo
22,Iván Ramos,Centrocampistas,30,30,0.0,0.0,9.0,23,-,15K,39,1,El Álamo
12,Del Monte,Centrocampistas,10,6,1.0,0.0,2.0,22,165,25K,41,1,El Álamo
18,Julio Fernández,Centrocampistas,30,17,2.0,0.0,5.0,-,-,1K,33,1,El Álamo
11,Iván González,Centrocampistas,15,10,2.0,0.0,2.0,20,-,4K,37,1,El Álamo
8,A. Carrillo,Centrocampistas,17,10,0.0,0.0,1.0,26,180,8K,38,1,El Álamo
26,G. Miniera,Centrocampistas,1,0,0.0,0.0,0.0,-,-,1K,27,1,El Álamo
26,Fer Jimenez,Centrocampistas,2,0,0.0,0.0,0.0,-,-,0,0,1,El Álamo
10,Raúl,Delanteros,5,2,0.0,0.0,0.0,30,-,24K,46,1,El Álamo
6,I. Salmi,Delanteros,26,22,2.0,0.0,6.0,-,-,5K,35,1,El Álamo
21,Diego Magariño,Delanteros,20,7,2.0,0.0,0.0,21,182,16K,40,1,El Álamo
7,N. Aaras,Delanteros,23,5,1.0,0.0,2.0,-,-,1K,27,1,El Álamo
26,J. Gomez,Delanteros,2,0,0.0,0.0,0.0,-,-,1K,27,1,El Álamo
