Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
12,Joao Urbáez,Defensas,28,27,0.0,0.0,10.0,22,180,99K,48,2,Leganés B
4,P. Ramírez,Defensas,22,17,0.0,0.0,9.0,22,-,90K,47,2,Leganés B
3,Iker Bachiller,Defensas,27,26,0.0,0.0,3.0,22,169,123K,43,1,Leganés B
2,J. De Castro,Defensas,24,21,1.0,0.0,1.0,23,177,62K,45,2,Leganés B
5,Luis Jimeno,Defensas,18,12,0.0,0.0,2.0,20,184,59K,46,1,Leganés B
15,Said Imigene,Defensas,6,6,0.0,0.0,4.0,20,189,2K,28,1,Leganés B
33,Alejandro Alda,Defensas,0,0,0.0,0.0,0.0,22,184,5K,33,2,Leganés B
23,S. Zeljajić,Defensas,7,4,1.0,0.0,0.0,24,190,4K,28,1,Leganés B
16,H. Solozábal,Centrocampistas,33,32,7.0,0.0,8.0,22,186,183K,50,2,Leganés B
28,Marco Leiton,Centrocampistas,5,5,0.0,0.0,2.0,19,-,12K,39,1,Leganés B
14,Marcos Leiva,Centrocampistas,21,11,0.0,0.0,4.0,20,185,26K,46,2,Leganés B
22,H. Garcia,Centrocampistas,24,11,3.0,0.0,0.0,22,188,34K,39,1,Leganés B
6,F. Rodríguez,Centrocampistas,24,18,0.0,0.0,10.0,22,182,38K,38,1,Leganés B
24,Jorge Herrero,Centrocampistas,24,14,0.0,0.0,4.0,19,180,10K,39,1,Leganés B
30,David Baladia,Centrocampistas,21,5,1.0,0.0,2.0,20,180,12K,41,1,Leganés B
8,Rodrigo Gómez,Centrocampistas,7,3,0.0,0.0,0.0,21,163,26K,38,2,Leganés B
17,M. Alpha,Centrocampistas,5,3,0.0,0.0,2.0,20,-,1K,32,1,Leganés B
27,Y. Diomande,Delanteros,3,1,0.0,0.0,0.0,18,180,30K,30,1,Leganés B
39,Sule,Delanteros,7,5,1.0,0.0,2.0,19,-,12K,41,1,Leganés B
9,D. Lorenzo,Delanteros,30,23,14.0,0.0,4.0,23,186,54K,42,1,Leganés B
10,Piri,Delanteros,24,22,6.0,0.0,9.0,21,176,98K,46,2,Leganés B
11,Mario Jiménez,Delanteros,26,14,3.0,0.0,2.0,22,169,55K,45,1,Leganés B
7,Adrián Rosell,Delanteros,32,18,3.0,0.0,4.0,20,183,60K,44,1,Leganés B
19,José Friaza,Delanteros,30,13,10.0,0.0,6.0,23,192,44K,42,1,Leganés B
20,D. Osei,Delanteros,32,17,5.0,0.0,6.0,20,-,12K,34,2,Leganés B
18,Soo-Bin Park,Delanteros,3,0,0.0,0.0,0.0,19,176,1K,27,1,Leganés B
