Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
15,D. Cuevas,Defensas,16,14,0.0,0.0,5.0,29,178,63K,51,1,México FC
6,R. Gómez,Defensas,27,26,1.0,0.0,5.0,27,-,57K,50,1,México FC
21,L. Venturini,Defensas,29,27,0.0,0.0,6.0,33,-,24K,49,1,México FC
14,J. Moyano,Defensas,9,6,0.0,0.0,2.0,36,179,15K,50,1,México FC
3,Ripoll,Defensas,22,17,1.0,0.0,4.0,26,178,11K,40,2,México FC
28,Jared Escalante,Defensas,20,13,2.0,0.0,1.0,19,173,36K,41,1,México FC
5,Yahir Zamora,Defensas,10,6,0.0,0.0,3.0,20,175,5K,31,1,México FC
30,D. Jimenez,Defensas,18,13,0.0,0.0,2.0,-,-,1K,28,1,México FC
11,Migallon,Centrocampistas,33,28,6.0,0.0,6.0,26,-,42K,46,1,México FC
10,Nacho Maganto,Centrocampistas,31,27,6.0,0.0,11.0,33,171,33K,46,1,México FC
4,G. Nieto,Centrocampistas,30,25,0.0,0.0,11.0,26,-,35K,46,2,México FC
8,J. Arroyo,Centrocampistas,30,29,0.0,0.0,7.0,35,183,20K,48,2,México FC
20,Andrei,Centrocampistas,20,14,5.0,0.0,4.0,23,182,37K,42,1,México FC
16,D. Fernandez,Centrocampistas,16,7,0.0,0.0,6.0,22,-,23K,43,2,México FC
27,Jesús Martínez,Centrocampistas,3,2,1.0,0.0,0.0,22,171,18K,38,1,México FC
23,David Ajenjo,Centrocampistas,28,8,0.0,0.0,2.0,21,180,20K,40,1,México FC
31,Gael Chávez,Centrocampistas,8,2,0.0,0.0,1.0,19,183,19K,37,1,México FC
27,R. Martín,Centrocampistas,13,2,2.0,0.0,0.0,-,-,1K,27,1,México FC
7,Gabri Salazar,Delanteros,33,24,5.0,2.0,3.0,28,180,46K,47,1,México FC
9,Javi Heranz,Delanteros,24,19,4.0,0.0,11.0,30,190,29K,43,1,México FC
18,M. Zuñiga,Delanteros,10,4,0.0,0.0,2.0,32,183,101K,49,1,México FC
24,J. Martinez,Delanteros,4,1,0.0,0.0,2.0,19,178,1K,27,1,México FC
27,M. Ortiz,Delanteros,0,0,0.0,0.0,0.0,-,-,1K,27,1,México FC
27,D. Retabe,Delanteros,3,0,0.0,0.0,0.0,-,-,1K,27,1,México FC
28,I. Barco,Delanteros,0,0,0.0,0.0,0.0,-,-,1K,27,1,México FC
