Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Goles_Recibidos,Paradas,Equipo
Marcos Rubio,Porteros,30,30,25.0,0.0,2.0,23,-,18K,44,1,25.0,2.0,RCD Carabanchel
Y. Popovych,Porteros,0,0,0.0,0.0,0.0,21,-,3K,27,1,0.0,0.0,RCD Carabanchel
Dani Gutiérrez,Porteros,0,0,0.0,0.0,0.0,19,-,1K,33,1,0.0,0.0,RCD Carabanchel
William Vezina,Porteros,0,0,0.0,0.0,0.0,22,190,0,0,0,0.0,0.0,RCD Carabanchel
A. Ramirez,Defensas,16,16,1.0,0.0,6.0,33,-,16K,47,1,1.0,6.0,RCD Carabanchel
Richi Aztiria,Defensas,22,19,0.0,0.0,3.0,28,185,46K,51,1,0.0,3.0,RCD Carabanchel
Alberdi,Defensas,30,29,4.0,0.0,14.0,26,-,21K,46,1,4.0,14.0,RCD Carabanchel
Dani Tapia,Defensas,27,23,0.0,0.0,8.0,28,-,29K,47,2,1.0,15.0,RCD Carabanchel
Javi Crespo,Defensas,11,9,0.0,0.0,5.0,34,185,13K,46,1,0.0,5.0,RCD Carabanchel
J. Batista,Defensas,8,4,0.0,0.0,3.0,26,180,43K,49,1,0.0,4.0,RCD Carabanchel
Jorge Pérez,Defensas,17,15,0.0,0.0,2.0,20,-,11K,43,1,0.0,2.0,RCD Carabanchel
Pintón,Defensas,12,9,0.0,0.0,3.0,19,181,9K,42,1,0.0,3.0,RCD Carabanchel
C. Lucas,Defensas,5,3,0.0,0.0,1.0,-,-,1K,29,1,0.0,1.0,RCD Carabanchel
A. Chamón,Centrocampistas,27,21,3.0,0.0,2.0,21,-,34K,45,1,3.0,2.0,RCD Carabanchel
Nouaman,Centrocampistas,30,25,5.0,0.0,10.0,32,180,23K,43,1,5.0,10.0,RCD Carabanchel
Fer Pastor,Centrocampistas,26,14,0.0,0.0,5.0,28,-,25K,48,1,0.0,5.0,RCD Carabanchel
P. Altozano,Centrocampistas,12,8,1.0,0.0,1.0,20,-,18K,44,1,1.0,1.0,RCD Carabanchel
Juancar,Centrocampistas,18,17,0.0,0.0,6.0,28,-,13K,42,2,0.0,7.0,RCD Carabanchel
Vallinot,Centrocampistas,31,17,2.0,0.0,3.0,26,-,13K,41,2,5.0,10.0,RCD Carabanchel
S. Juarez,Centrocampistas,24,10,1.0,0.0,3.0,31,-,12K,43,1,1.0,3.0,RCD Carabanchel
Dani García,Centrocampistas,5,3,0.0,0.0,2.0,26,-,12K,41,1,0.0,2.0,RCD Carabanchel
Álvaro Marcos,Centrocampistas,15,6,1.0,0.0,4.0,20,180,9K,35,1,1.0,4.0,RCD Carabanchel
Doménech,Delanteros,17,16,5.0,0.0,2.0,33,180,55K,52,1,5.0,2.0,RCD Carabanchel
Pacheco,Delanteros,31,22,3.0,0.0,4.0,-,-,14K,46,1,3.0,5.0,RCD Carabanchel
Toni Morales,Delanteros,19,10,1.0,0.0,2.0,30,-,25K,49,1,1.0,2.0,RCD Carabanchel
Héctor,Delanteros,28,14,0.0,0.0,1.0,31,-,24K,47,1,0.0,1.0,RCD Carabanchel
Del Barco,Delanteros,19,5,1.0,0.0,4.0,35,179,8K,42,1,1.0,4.0,RCD Carabanchel
J. Bermejo,Delanteros,25,14,1.0,1.0,2.0,20,-,7K,33,1,1.0,3.0,RCD Carabanchel
S. Lobo,Delanteros,0,0,0.0,0.0,0.0,-,-,1K,27,1,0.0,0.0,RCD Carabanchel
