Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
3,D. Marin,Defensas,33,32,6.0,0.0,4.0,25,-,62K,47,1,RSD Alcalá
19,J. Jimenez,Defensas,26,25,2.0,0.0,4.0,25,-,79K,51,2,RSD Alcalá
20,David López,Defensas,31,25,1.0,0.0,11.0,31,185,38K,47,2,RSD Alcalá
22,Daniel Nieto,Defensas,29,26,4.0,0.0,9.0,21,-,57K,45,1,RSD Alcalá
23,S. Sousa,Defensas,29,17,2.0,0.0,6.0,21,-,62K,46,1,RSD Alcalá
4,M. De Felipe,Defensas,13,2,0.0,0.0,0.0,23,-,50K,45,2,RSD Alcalá
2,Huelves,Defensas,5,1,1.0,0.0,2.0,30,-,28K,38,3,RSD Alcalá
28,J. De Santiago,Defensas,2,0,0.0,0.0,0.0,-,-,1K,29,1,RSD Alcalá
21,Borja Sánchez,Centrocampistas,26,25,3.0,0.0,8.0,38,179,1K,53,2,RSD Alcalá
8,Sergio Marcos,Centrocampistas,32,30,1.0,0.0,8.0,33,176,49K,44,1,RSD Alcalá
14,Malote,Centrocampistas,28,21,4.0,0.0,4.0,30,179,39K,44,2,RSD Alcalá
6,Ángel Blanco,Centrocampistas,34,18,3.0,0.0,4.0,21,-,42K,45,1,RSD Alcalá
7,Jesús Arribas,Centrocampistas,34,27,3.0,0.0,4.0,21,-,27K,40,2,RSD Alcalá
27,G. Moreno,Centrocampistas,1,0,0.0,0.0,0.0,-,-,2K,38,1,RSD Alcalá
5,A. Módula,Centrocampistas,23,6,1.0,0.0,6.0,32,178,17K,42,2,RSD Alcalá
26,N. Barcelo,Centrocampistas,3,0,0.0,0.0,0.0,-,-,2K,38,1,RSD Alcalá
17,A. Portero,Delanteros,31,29,15.0,0.0,9.0,37,-,1K,50,3,RSD Alcalá
10,Izan,Delanteros,34,32,14.0,0.0,4.0,27,177,59K,46,2,RSD Alcalá
11,Pablo Sánchez,Delanteros,20,7,2.0,0.0,0.0,22,-,42K,45,1,RSD Alcalá
9,Pablo Zotes,Delanteros,15,4,1.0,0.0,1.0,25,182,30K,43,2,RSD Alcalá
18,S. Rodríguez,Delanteros,17,4,3.0,0.0,1.0,20,-,25K,44,1,RSD Alcalá
12,M. Lopez,Delanteros,14,8,1.0,0.0,1.0,-,-,2K,38,1,RSD Alcalá
16,Mohamed Bah,Delanteros,8,1,0.0,0.0,1.0,20,194,2K,27,1,RSD Alcalá
