Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
3,Diego Robles,Defensas,32,32,1.0,0.0,4.0,21,-,43K,46,1,Rayo Vallecano B
2,Marco De Las Sías,Defensas,27,27,5.0,0.0,13.0,19,180,117K,44,1,Rayo Vallecano B
5,Víctor Revuelto,Defensas,29,27,0.0,0.0,7.0,20,-,6K,43,1,Rayo Vallecano B
32,Sergio Lozano,Defensas,29,26,0.0,0.0,13.0,19,175,12K,42,2,Rayo Vallecano B
32,Santi Silva,Defensas,1,1,0.0,0.0,0.0,19,173,7K,36,1,Rayo Vallecano B
4,M. Guzmán,Defensas,21,14,0.0,0.0,10.0,23,-,21K,44,2,Rayo Vallecano B
22,David Mico,Defensas,3,1,0.0,0.0,0.0,20,-,5K,39,1,Rayo Vallecano B
7,Juanchi,Centrocampistas,32,32,5.0,0.0,6.0,24,-,44K,46,1,Rayo Vallecano B
10,Juan Ybarra,Centrocampistas,29,29,10.0,0.0,6.0,21,-,39K,44,2,Rayo Vallecano B
14,P. Prieto,Centrocampistas,22,14,1.0,0.0,3.0,22,-,32K,44,1,Rayo Vallecano B
6,Aitor González,Centrocampistas,31,31,0.0,0.0,6.0,24,177,26K,41,3,Rayo Vallecano B
30,Samu Becerra,Centrocampistas,31,22,5.0,0.0,4.0,19,-,10K,37,2,Rayo Vallecano B
17,Gonzalo García,Centrocampistas,8,1,0.0,0.0,0.0,20,-,10K,43,1,Rayo Vallecano B
28,G. Gutiérrez,Centrocampistas,1,0,0.0,0.0,0.0,19,-,3K,34,1,Rayo Vallecano B
21,H. Navarro,Centrocampistas,21,2,2.0,0.0,3.0,22,-,30K,43,1,Rayo Vallecano B
20,S. Asensio,Centrocampistas,20,8,1.0,0.0,4.0,20,-,7K,41,1,Rayo Vallecano B
8,Expósito,Centrocampistas,8,1,0.0,0.0,4.0,23,182,14K,39,3,Rayo Vallecano B
16,A. Ruiz,Centrocampistas,0,0,0.0,0.0,0.0,-,-,1K,26,1,Rayo Vallecano B
29,W. Glogowski,Centrocampistas,1,0,0.0,0.0,0.0,-,177,0,0,1,Rayo Vallecano B
11,E. Eto'o,Delanteros,31,31,24.0,0.0,4.0,22,191,149K,45,1,Rayo Vallecano B
19,Bala,Delanteros,29,22,5.0,0.0,1.0,22,180,38K,43,2,Rayo Vallecano B
27,Iván Alonso,Delanteros,9,1,3.0,0.0,1.0,19,-,8K,39,1,Rayo Vallecano B
23,Pablo Montero,Delanteros,10,3,0.0,0.0,2.0,23,168,42K,44,1,Rayo Vallecano B
9,Sergio Alonso,Delanteros,20,3,6.0,0.0,0.0,21,180,19K,41,2,Rayo Vallecano B
18,Cesar Valero,Delanteros,8,2,0.0,0.0,1.0,20,-,4K,36,1,Rayo Vallecano B
24,Iván Iñigo,Delanteros,25,7,1.0,0.0,2.0,19,-,3K,31,1,Rayo Vallecano B
12,R. Veloz,Delanteros,1,0,0.0,0.0,0.0,-,-,0,0,1,Rayo Vallecano B
