Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
22,Rubén Muñoz,Defensas,15,14,2.0,0.0,7.0,34,-,9K,47,1,SAD Villaverde
4,Álvaro Jon,Defensas,25,22,1.0,0.0,11.0,26,-,13K,41,2,SAD Villaverde
3,Rasta,Defensas,29,26,1.0,0.0,11.0,24,-,14K,41,1,SAD Villaverde
19,F. Moreno,Defensas,27,23,0.0,0.0,4.0,26,173,15K,41,1,SAD Villaverde
2,Raba,Defensas,20,12,0.0,0.0,5.0,24,-,27K,44,2,SAD Villaverde
15,B. Del Valle,Defensas,29,18,0.0,0.0,11.0,23,-,15K,40,1,SAD Villaverde
5,Paco Puertas,Defensas,20,7,3.0,0.0,8.0,29,184,12K,37,1,SAD Villaverde
17,Mamadou,Defensas,19,14,0.0,0.0,3.0,21,-,1K,30,1,SAD Villaverde
12,Jesus Gomez,Defensas,3,0,0.0,0.0,1.0,22,-,5K,35,1,SAD Villaverde
8,Camu,Defensas,12,0,0.0,0.0,3.0,-,-,4K,35,1,SAD Villaverde
18,W. Ge,Defensas,2,1,0.0,0.0,1.0,24,180,1K,27,1,SAD Villaverde
7,R. Diaz,Centrocampistas,26,26,9.0,0.0,10.0,-,-,28K,49,1,SAD Villaverde
23,Miguel Angel,Centrocampistas,31,29,4.0,0.0,9.0,32,180,53K,49,1,SAD Villaverde
11,Been,Centrocampistas,33,28,5.0,0.0,1.0,24,-,22K,44,1,SAD Villaverde
26,Robus,Centrocampistas,34,31,4.0,0.0,4.0,23,185,21K,40,1,SAD Villaverde
14,I. Fernandez,Centrocampistas,30,27,2.0,0.0,10.0,24,-,24K,42,1,SAD Villaverde
16,Diego Martínez,Centrocampistas,30,15,4.0,0.0,7.0,21,-,23K,43,1,SAD Villaverde
20,Alexander,Centrocampistas,10,2,0.0,0.0,3.0,28,-,5K,39,1,SAD Villaverde
24,Jay Malango,Centrocampistas,11,3,2.0,0.0,1.0,20,-,4K,31,1,SAD Villaverde
21,B. Gurbanli,Centrocampistas,1,0,0.0,0.0,0.0,-,-,1K,27,1,SAD Villaverde
10,Nabil,Delanteros,32,29,11.0,0.0,6.0,23,175,38K,44,1,SAD Villaverde
9,D. Borrasca,Delanteros,17,6,1.0,0.0,1.0,22,181,22K,40,1,SAD Villaverde
25,O. Mordaa,Delanteros,4,1,0.0,0.0,1.0,-,-,1K,27,1,SAD Villaverde
