Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
5,Manu,Defensas,30,28,5.0,0.0,5.0,36,-,15K,52,3,Trival Valderas
21,Beni,Defensas,24,24,1.0,0.0,6.0,34,180,33K,50,1,Trival Valderas
22,Raúl Díez,Defensas,25,24,2.0,0.0,8.0,37,-,1K,49,3,Trival Valderas
11,Turégano,Defensas,23,20,1.0,0.0,8.0,33,183,27K,49,1,Trival Valderas
4,Mario Sánchez,Defensas,26,23,0.0,0.0,9.0,36,189,3K,49,4,Trival Valderas
16,V. Barber,Defensas,14,10,0.0,0.0,2.0,22,-,45K,42,1,Trival Valderas
8,Mario Duque,Defensas,33,24,0.0,0.0,9.0,33,-,23K,47,3,Trival Valderas
3,V. Calarge,Defensas,31,28,2.0,0.0,7.0,29,173,53K,44,1,Trival Valderas
2,Víctor Alonso,Defensas,4,1,0.0,0.0,0.0,-,-,4K,44,2,Trival Valderas
17,Marcos Gozalo,Defensas,22,12,1.0,0.0,2.0,-,-,3K,41,1,Trival Valderas
28,J. Gomez,Defensas,1,0,0.0,0.0,0.0,-,-,1K,26,1,Trival Valderas
27,J. Aneam,Defensas,1,0,0.0,0.0,0.0,-,-,1K,27,1,Trival Valderas
14,Nogueira,Centrocampistas,22,18,0.0,0.0,5.0,31,-,39K,47,3,Trival Valderas
6,Iván Lean,Centrocampistas,32,18,4.0,0.0,6.0,31,-,33K,46,4,Trival Valderas
10,Calleja,Centrocampistas,1,1,0.0,0.0,0.0,35,-,5K,42,1,Trival Valderas
18,D. Ruiz,Centrocampistas,29,6,2.0,0.0,1.0,21,-,20K,42,2,Trival Valderas
20,Moussa,Centrocampistas,31,29,1.0,0.0,12.0,21,-,8K,33,1,Trival Valderas
12,Ihab,Centrocampistas,28,22,4.0,0.0,7.0,-,-,2K,36,2,Trival Valderas
19,J. Cardona,Centrocampistas,11,4,1.0,0.0,2.0,-,-,6K,33,1,Trival Valderas
26,R. Martinez,Centrocampistas,1,0,0.0,0.0,0.0,-,-,1K,28,1,Trival Valderas
28,Javier Diz,Centrocampistas,1,0,1.0,0.0,0.0,-,-,1K,26,1,Trival Valderas
7,Buta,Delanteros,31,20,9.0,0.0,4.0,24,-,43K,48,3,Trival Valderas
9,Marc Echarri,Delanteros,28,18,8.0,0.0,8.0,26,190,33K,44,2,Trival Valderas
10,Fede Oliva,Delanteros,28,5,3.0,0.0,2.0,20,-,13K,35,1,Trival Valderas
15,Traore,Delanteros,9,4,1.0,0.0,2.0,21,183,4K,34,1,Trival Valderas
28,H. Ponce,Delanteros,0,0,0.0,0.0,0.0,-,-,1K,26,1,Trival Valderas
