Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
5,Adrián Corral,Defensas,28,27,3.0,0.0,5.0,22,183,205K,50,1,CUC Villalba
21,S. Rublico,Defensas,28,23,0.0,0.0,1.0,19,-,36K,44,1,CUC Villalba
3,Óscar González,Defensas,30,26,0.0,0.0,5.0,21,175,97K,46,1,CUC Villalba
16,Raúl Girona,Defensas,22,19,0.0,0.0,5.0,20,-,25K,43,1,CUC Villalba
22,Iván Vasiljevic,Defensas,21,15,0.0,0.0,5.0,20,185,30K,44,1,CUC Villalba
2,Seydou Fall,Defensas,8,3,0.0,0.0,1.0,20,192,29K,40,1,CUC Villalba
23,Jan Colomé,Defensas,4,2,0.0,0.0,1.0,19,-,5K,34,1,CUC Villalba
11,J. Castellanos,Centrocampistas,32,31,5.0,0.0,6.0,19,-,34K,43,1,CUC Villalba
6,Darío Frey,Centrocampistas,28,27,0.0,0.0,9.0,20,180,55K,47,1,CUC Villalba
7,David Muñoz,Centrocampistas,26,22,4.0,0.0,9.0,20,183,50K,44,1,CUC Villalba
8,Koke San José,Centrocampistas,24,20,2.0,0.0,3.0,20,-,66K,43,1,CUC Villalba
18,Fran Gómez,Centrocampistas,28,17,1.0,0.0,6.0,21,170,49K,42,1,CUC Villalba
15,A. García,Centrocampistas,19,12,1.0,0.0,4.0,18,-,3K,33,1,CUC Villalba
4,Juan Alegre,Centrocampistas,24,1,2.0,0.0,4.0,20,-,19K,37,1,CUC Villalba
19,Messo,Delanteros,31,24,5.0,0.0,1.0,22,172,33K,43,1,CUC Villalba
9,Javi Alonso,Delanteros,33,23,8.0,0.0,8.0,20,-,44K,48,1,CUC Villalba
10,David Vilán,Delanteros,23,11,2.0,0.0,3.0,22,185,85K,48,1,CUC Villalba
14,Abraham José,Delanteros,31,17,7.0,0.0,0.0,21,179,68K,43,1,CUC Villalba
20,A. Bensaad,Delanteros,27,11,2.0,0.0,5.0,19,184,17K,40,1,CUC Villalba
17,Rony Mbomio,Delanteros,17,9,1.0,0.0,1.0,20,-,25K,37,1,CUC Villalba
