Unnamed: 0,Unnamed: 1,Unnamed: 2,PTS,PJ,PG,PE,PP,GF,GC,DG
1,,Atlético B  V  V  V  V  V,95,40,29,8,3,82,26,56
2,,Las Rozas  V  E  V  D  V,75,40,22,9,9,68,35,33
3,,CDE Fuenlabrada Promesas  E  E  D  V  D,72,40,20,12,8,61,42,19
4,,Alcorcón B  D  E  V  E  V,69,40,19,12,9,63,39,24
5,,México FC  E  V  E  V  V,66,40,19,9,12,56,44,12
6,,CD Ursaria  D  V  E  V  V,64,40,16,16,8,47,27,20
7,,RSD Alcalá  D  V  E  V  V,64,40,18,10,12,45,40,5
8,,Getafe B  E  V  V  D  D,61,40,17,10,13,56,46,10
9,,Rayo Vallecano B  E  E  E  D  V,57,40,15,12,13,59,43,16
10,,AD Torrejón CF  D  E  D  V  E,57,40,16,9,15,55,48,7
11,,CF Pozuelo  E  E  D  D  V,57,40,15,12,13,39,45,-6
12,,Galapagar  V  D  D  E  E,56,40,16,8,16,50,57,-7
13,,Trival Valderas  E  E  V  D  D,53,40,13,14,13,40,42,-2
14,,AD Parla  E  D  E  V  V,52,40,14,10,16,46,46,0
15,,CDF Tres Cantos  D  V  D  V  D,47,40,13,8,19,41,52,-11
16,,SAD Villaverde  V  E  D  D  D,45,40,13,6,21,35,45,-10
17,,Moratalaz  V  D  D  D  D,43,40,12,7,21,46,73,-27
18,,Villaviciosa Odón  V  E  V  V  D,38,40,10,8,22,47,73,-26
19,,Complutense Alcala  D  E  E  D  V,37,40,9,10,21,31,58,-27
20,,RCD Carabanchel  V  D  V  D  D,33,40,7,12,21,43,70,-27
21,,CD Colonia Moscardó  D  D  D  D  D,17,40,5,2,33,20,79,-59
