Numero,Nombre,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,Valor_Mercado,ELO,Temporadas,Partidos_totales,Goles_totales,Asistencias_totales,Posicion
13,H. Vara,3,3,5.0,0.0,0.0,18.0,178.0,5000,39,1,3,5.0,0.0,Porteros
1,Samuel Rubio,7,7,10.0,0.0,1.0,19.0,,4000,36,1,7,10.0,1.0,Porteros
1,M. Valverde,19,19,26.0,0.0,2.0,19.0,,1000,29,1,19,26.0,2.0,Porteros
31,R. Moreno,0,0,0.0,0.0,0.0,,,1000,30,1,0,0.0,0.0,Porteros
31,L. Rastrilla,1,1,1.0,0.0,0.0,18.0,,1000,28,1,1,1.0,0.0,Porteros
31,D. Vadillo,0,0,0.0,0.0,0.0,,,1000,26,1,0,0.0,0.0,Porteros
22,Sergio Lozano,1,1,0.0,0.0,1.0,19.0,175.0,12000,42,2,28,1.0,7.0,Defensas
4,Adrián Cruz,28,28,1.0,0.0,5.0,19.0,,7000,39,1,28,1.0,5.0,Defensas
3,Santi Silva,28,26,1.0,0.0,3.0,19.0,173.0,7000,36,2,43,1.0,4.0,Defensas
27,G. Mesonero,29,28,0.0,0.0,1.0,17.0,,2000,32,1,29,0.0,1.0,Defensas
21,M. González,0,0,0.0,0.0,0.0,19.0,,1000,30,1,0,0.0,0.0,Defensas
2,A. Dos Reis,3,0,0.0,0.0,0.0,,,2000,37,1,3,0.0,0.0,Defensas
26,D. Alexandru,19,15,0.0,0.0,4.0,18.0,,2000,31,1,19,0.0,4.0,Defensas
5,L. Jordan,18,11,0.0,0.0,4.0,18.0,,3000,35,1,18,0.0,4.0,Defensas
15,S. Garcia,9,6,0.0,0.0,1.0,19.0,,1000,26,1,9,0.0,1.0,Defensas
12,R. Cicco,0,0,0.0,0.0,0.0,,,1000,26,1,0,0.0,0.0,Defensas
33,K. Antonopoulos,1,0,0.0,0.0,1.0,,,1000,26,1,1,0.0,1.0,Defensas
32,S. Garcia,10,5,0.0,0.0,1.0,,,5000,42,1,10,0.0,1.0,Centrocampistas
14,I. Navarro,22,21,6.0,0.0,4.0,19.0,,7000,40,1,22,6.0,4.0,Centrocampistas
18,Daniel Conde,27,25,5.0,0.0,5.0,18.0,171.0,6000,38,1,27,5.0,5.0,Centrocampistas
23,Samu Becerra,1,1,0.0,0.0,1.0,19.0,,10000,37,3,35,7.0,12.0,Centrocampistas
6,Marco Roman Santos,27,27,0.0,0.0,5.0,19.0,,5000,38,2,28,0.0,6.0,Centrocampistas
8,G. Gutiérrez,24,19,3.0,0.0,4.0,19.0,,3000,34,2,34,5.0,6.0,Centrocampistas
7,I. Ramirez,27,11,1.0,0.0,0.0,19.0,,4000,38,1,27,1.0,0.0,Centrocampistas
28,A. De La Morena,19,7,1.0,0.0,2.0,17.0,,3000,35,1,19,1.0,2.0,Centrocampistas
29,P. Melero,1,0,0.0,0.0,0.0,18.0,,1000,30,1,1,0.0,0.0,Centrocampistas
16,L. Cano,9,1,0.0,0.0,1.0,19.0,,2000,34,1,9,0.0,1.0,Centrocampistas
12,Filippo Brocchi,0,0,0.0,0.0,0.0,19.0,,1000,26,1,0,0.0,0.0,Centrocampistas
24,Iván Alonso,17,15,7.0,0.0,3.0,19.0,,8000,39,2,42,13.0,6.0,Delanteros
11,Raúl Martin,26,13,5.0,0.0,1.0,19.0,,8000,40,1,26,5.0,1.0,Delanteros
10,H. Castaño,18,17,8.0,0.0,1.0,19.0,,3000,34,1,18,8.0,1.0,Delanteros
9,J. Borrella,21,13,6.0,0.0,6.0,19.0,,2000,29,1,21,6.0,6.0,Delanteros
11,N. Garralon,11,0,0.0,0.0,1.0,19.0,,1000,30,1,11,0.0,1.0,Delanteros
19,P. Serón,8,2,0.0,0.0,1.0,19.0,,2000,32,1,8,0.0,1.0,Delanteros
17,A. Garcia,22,6,1.0,0.0,1.0,18.0,,2000,30,1,22,1.0,1.0,Delanteros
34,S. Castellón,3,2,0.0,0.0,0.0,,,1000,26,1,3,0.0,0.0,Delanteros
